Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2025-01-03T08:33:00Z,ADAUSD,1.062598,-720.55691071,Limit,Filled,-765.66233220662,"ATR Trail" 
2025-01-03T09:33:00Z,ADAUSD,1.058476,714.48315605,Limit,Filled,756.26327308318,"Entry" 
2025-01-03T10:13:00Z,ADAUSD,1.062598,-714.48315605,Limit,Filled,-759.20837265242,"ATR Trail" 
2025-01-03T12:10:00Z,XLMUSD,0.442095,515.97420822,Limit,Filled,228.10961758302,"Entry" 
2025-01-03T12:49:00Z,XLMUSD,0.455121,-515.97420822,Limit,Filled,-234.83069761929,"ATR Trail" 
2025-01-03T13:15:00Z,XDGUSD,0.3606939,2881.48453408,Limit,Filled,1039.333894387,"Entry" 
2025-01-03T13:48:00Z,XDGUSD,0.3638945,-2881.48453409,Limit,Filled,-1048.5563737904,"ATR Trail" 
2025-01-03T13:50:00Z,ALGOUSD,0.41656,1357.0828778,Limit,Filled,565.30644357637,"Entry" 
2025-01-03T14:48:00Z,XDGUSD,0.3626207,1899.8489193,Limit,Filled,688.92454501081,"Entry" 
2025-01-03T14:52:00Z,ALGOUSD,0.41445,-1357.0828778,Limit,Filled,-562.44299870421,"ATR Trail" 
2025-01-03T15:10:00Z,XLMUSD,0.446204,547.11868296,Limit,Filled,244.12654481148,"Entry" 
2025-01-03T15:31:00Z,XLMUSD,0.455121,-547.11868296,Limit,Filled,-249.00520210744,"ATR Trail" 
2025-01-03T15:45:00Z,SUIUSD,0,176.7485,Limit,Canceled,0,"" 
2025-01-03T15:49:00Z,SUIUSD,4.67,127.91697,Limit,Filled,597.3722499,"Entry" 
2025-01-03T16:11:00Z,FTMUSD,0.8389,491.15833333,Limit,Filled,412.03272583054,"Entry" 
2025-01-03T16:22:00Z,XDGUSD,0.3720999,-949.92445965,Limit,Filled,-353.46679644332,"Partial TP" 
2025-01-03T16:30:00Z,XDGUSD,0.3751627,-949.92445965,Limit,Filled,-356.37622507834,"ATR Trail" 
2025-01-03T16:43:00Z,FTMUSD,0.865,-491.15833334,Limit,Filled,-424.8519583391,"ATR Trail" 
2025-01-03T16:50:00Z,ALGOUSD,0,1706.02437004,Limit,Canceled,0,"" 
2025-01-03T16:54:00Z,ALGOUSD,0.42541,1703.21814516,Limit,Filled,724.56603113252,"Entry" 
2025-01-03T17:11:00Z,SUIUSD,4.7,-127.91697,Limit,Filled,-601.209759,"ATR Trail" 
2025-01-03T17:15:00Z,WIFUSD,2.1818,409.66761,Limit,Filled,893.812791498,"Entry" 
2025-01-03T17:16:00Z,ALGOUSD,0.42548,-1703.21814516,Limit,Filled,-724.68525640268,"ATR Trail" 
2025-01-03T17:41:00Z,XDGUSD,0.3783315,1386.95283898,Limit,Filled,524.72794800056,"Entry" 
2025-01-03T18:49:00Z,WIFUSD,2.1886,-409.66761,Limit,Filled,-896.598531246,"Stagnation Exit" 
2025-01-03T19:29:00Z,XDGUSD,0.3819853,-1386.95283898,Limit,Filled,-529.79559628363,"Stagnation Exit" 
2025-01-03T20:48:00Z,CRVUSD,0,728.50195724,Limit,Canceled,0,"" 
2025-01-03T20:48:00Z,SUIUSD,4.8246,136.63323,Limit,Filled,659.200681458,"Entry" 
2025-01-03T20:58:00Z,CRVUSD,1.1096,632.10621348,Limit,Filled,701.38505447741,"Entry" 
2025-01-03T21:01:00Z,CRVUSD,0,-632.10621347,Limit,Canceled,0,"" 
2025-01-03T21:03:00Z,CRVUSD,0,-632.10621347,Limit,Canceled,0,"" 
2025-01-03T21:05:00Z,CRVUSD,1.086,-632.10621347,Limit,Filled,-686.46734782842,"ATR Trail" 
2025-01-03T23:06:00Z,FTMUSD,0.8624,444.08208619,Limit,Filled,382.97639113026,"Entry" 
2025-01-03T23:39:00Z,FTMUSD,0.8636,-444.08208619,Limit,Filled,-383.50928963368,"ATR Trail" 
2025-01-03T23:42:00Z,SUIUSD,4.9616,-68.31661,Limit,Filled,-338.959692176,"Partial TP" 
2025-01-03T23:53:00Z,SUIUSD,4.9656,-68.31661,Limit,Filled,-339.232958616,"ATR Trail" 
2025-01-04T00:10:00Z,XLMUSD,0.459907,551.48802411,Limit,Filled,253.63320270436,"Entry" 
2025-01-04T00:28:00Z,XLMUSD,0.452061,-551.4880241,Limit,Filled,-249.30622766267,"ATR Trail" 
2025-01-04T06:11:00Z,XDGUSD,0,1510.36285467,Limit,Canceled,0,"" 
2025-01-04T06:13:00Z,XDGUSD,0,1509.2971431,Limit,Canceled,0,"" 
2025-01-04T08:36:00Z,SUIUSD,5.0819,154.61248,Limit,Filled,785.725162112,"Entry" 
2025-01-04T08:47:00Z,SUIUSD,5.03,-154.61249,Limit,Filled,-777.7008247,"ATR Trail" 
2025-01-04T09:49:00Z,SUIUSD,5.0465,150.95631,Limit,Filled,761.801018415,"Entry" 
2025-01-04T10:40:00Z,SUIUSD,5.1763,-75.47815,Limit,Filled,-390.697547845,"Partial TP" 
2025-01-04T11:20:00Z,SUIUSD,5.2001,-75.47816,Limit,Filled,-392.493979816,"ATR Trail" 
2025-01-04T13:00:00Z,SUIUSD,0,134.99007,Limit,Canceled,0,"" 
2025-01-04T16:05:00Z,LINKUSD,23.35158,24.5374913,Limit,Filled,572.98919109125,"Entry" 
2025-01-04T16:25:00Z,XLMUSD,0,824.7668696,Limit,Canceled,0,"" 
2025-01-04T16:28:00Z,XLMUSD,0.450904,675.10085005,Limit,Filled,304.40567369095,"Entry" 
2025-01-04T16:41:00Z,XDGUSD,0.3808752,1518.69037819,Limit,Filled,578.43150153119,"Entry" 
2025-01-04T17:24:00Z,XLMUSD,0.485276,-675.10085005,Limit,Filled,-327.61024010886,"ATR Trail" 
2025-01-04T17:26:00Z,TRXUSD,0.269779,1740.86323185,Limit,Filled,469.64834182526,"Entry" 
2025-01-04T17:37:00Z,LINKUSD,23.88809,-24.5374913,Limit,Filled,-586.15380054862,"Stagnation Exit" 
2025-01-04T18:31:00Z,XDGUSD,0.3902205,-1518.69037819,Limit,Filled,-592.62411872249,"ATR Trail" 
2025-01-04T18:58:00Z,TRXUSD,0.271,-1740.86323184,Limit,Filled,-471.77393582864,"Stagnation Exit" 
2025-01-05T08:35:00Z,ADAUSD,0,475.0140849,Limit,Canceled,0,"" 
2025-01-05T14:40:00Z,ADAUSD,1.083688,594.99234491,Limit,Filled,644.78606427083,"Entry" 
2025-01-05T15:14:00Z,ADAUSD,1.093114,-594.99234491,Limit,Filled,-650.39446211395,"ATR Trail" 
2025-01-06T02:11:00Z,ALGOUSD,0,2127.74870445,Limit,Canceled,0,"" 
2025-01-06T02:13:00Z,ALGOUSD,0.41345,2125.68852948,Limit,Filled,878.86592251351,"Entry" 
2025-01-06T02:22:00Z,LINKUSD,23.89169,9.13278287,Limit,Filled,218.19761716735,"Entry" 
2025-01-06T02:30:00Z,XLMUSD,0.447104,343.73979082,Limit,Filled,153.68743543479,"Entry" 
2025-01-06T02:31:00Z,ALGOUSD,0.41,-2125.68852948,Limit,Filled,-871.5322970868,"ATR Trail" 
2025-01-06T02:52:00Z,LINKUSD,23.74499,-9.13278287,Limit,Filled,-216.85783792032,"ATR Trail" 
2025-01-06T03:02:00Z,XLMUSD,0.485276,-343.73979083,Limit,Filled,-166.80867073482,"ATR Trail" 
2025-01-06T09:01:00Z,FTMUSD,0.7621,832.1353595,Limit,Filled,634.17035747495,"Entry" 
2025-01-06T09:10:00Z,FTMUSD,0.8647,-416.06767975,Limit,Filled,-359.77372267983,"Partial TP" 
2025-01-06T09:26:00Z,FTMUSD,0.8647,-416.06767975,Limit,Filled,-359.77372267983,"ATR Trail" 
